,Zip Code,Publication Name,ULCS Code,Income,Denom,Num,Graduation Percent,StudentEnrollment,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,BlackAACount,BlackAAPCT,WhiteCount,WhitePCT,EconDisadvRate,OtherRaceCount,OtherRacePCT,Number of Graduates,First-Fall Matriculation Rate
73,19139,William L. Sayre High School,1100,32531,104.0,74,71.15,426.0,159.0,37.32,267.0,62.68,205.0,48.12,221.0,51.88,385.0,90.38,3.0,0.7,100.0,38.0,8.92,85.0,23.53
88,19141,Julia W. Howe School,7320,34651,,,,,,,,,,,,,,,,,,,,,
87,19141,Prince Hall School,7490,34651,,,,,,,,,,,,,,,,,,,,,
85,19141,Philadelphia High School for Girls,6050,34651,135.0,125,92.59,724.0,39.0,5.39,685.0,94.61,715.0,98.76,1.0,0.14,489.0,67.54,32.0,4.42,100.0,203.0,28.04,125.0,76.0
84,19141,Central High School,6010,34651,600.0,593,98.83,2288.0,45.0,1.97,2243.0,98.03,1254.0,54.81,1021.0,44.62,489.0,21.37,631.0,27.58,86.5,1168.0,51.05,593.0,88.53
86,19141,Jay Cooke School,7100,34651,,,,,,,,,,,,,,,,,,,,,
82,19141,Joseph Pennell School,6340,34651,,,,,,,,,,,,,,,,,,,,,
81,19141,James Logan School,6300,34651,,,,,,,,,,,,,,,,,,,,,
80,19141,Widener Memorial School,6400,34651,13.0,3,23.08,137.0,130.0,94.89,7.0,5.11,53.0,38.69,84.0,61.31,63.0,45.99,18.0,13.14,100.0,56.0,40.88,12.0,8.33
83,19141,Lindley Academy Charter at Birney,3419,34651,,,,,,,,,,,,,,,,,,,,,
89,19144,Anna L. Lingelbach School,6440,37322,,,,,,,,,,,,,,,,,,,,,
90,19144,Wissahickon Charter School,3362,37322,,,,,,,,,,,,,,,,,,,,,
91,19144,Theodore Roosevelt School,6360,37322,,,,,,,,,,,,,,,,,,,,,
92,19144,Mastery Charter School at Wister,3427,37322,,,,,,,,,,,,,,,,,,,,,
93,19144,Fitler Academics Plus School,6230,37322,,,,,,,,,,,,,,,,,,,,,
94,19144,John B. Kelly School,6470,37322,,,,,,,,,,,,,,,,,,,,,
95,19144,Mastery Charter School at Pickett,3393,37322,,,,,,,,,,,,,,,,,,,,,
101,19142,One Bright Ray - Elmwood Campus,3810,37621,44.0,4,9.09,126.0,12.0,9.52,114.0,90.48,62.0,49.21,64.0,50.79,121.0,96.03,0.0,0.0,0.0,5.0,3.97,,
103,19142,Joseph W. Catharine School,1250,37621,,,,,,,,,,,,,,,,,,,,,
102,19142,Southwest Leadership Academy Charter School,3392,37621,,,,,,,,,,,,,,,,,,,,,
100,19142,John M. Patterson School,1400,37621,,,,,,,,,,,,,,,,,,,,,
98,19142,Philadelphia Montessori Charter School,3378,37621,,,,,,,,,,,,,,,,,,,,,
